Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
 SP/PF    2007,16'900 / 29'200,3702321,266640.6618999999,.        ,277825.59089999995,8871470.945,12.03327512597879
 SP/PF    2008,16'900 / 29'200,3742705,271059.8995999999,.        ,288097.2365,9198377.449,3.684918837323636
 SP/PF    2009,16'900 / 29'200,3790173,275295.5851,.        ,292662.7676,9223267.077,0.2705871566806195
 SP/PF    2010,16'900 / 29'200,3838753,281223.7146,.        ,298877.559,9646472.115,4.588450431575865
 SP/PF    2011,17'700 / 30'600,3526740,273992.09290000005,2)        ,285299.9226,9662792.929,0.16918945916633277
 SP/PF    2012,17'800 / 30'800,3573675,274963.8913,2)        ,284473.4953,9175411.92,-5.043893753919434
 SP/PF    2013,17'800 / 30'800,3630360,280143.6896,3)        ,291606.32430000004,9556803.709,4.1566721181058455
 SP/PF    2014,17'800 / 30'800,3685544,289935.21190000005,788483,300999.5550000001,10079478.254,5.469135507175665
 SP/PF    2015,17'800 / 30'800,3747611,294719.3724,792793,305451.9454,10222441.084,1.418355458461022
 SP/PF    2016,17'800 / 30'800,3802060,303797.94039999996,813627,313649.1746,10519194.578,2.902961157335227
 SP/PF    2017,17'800 / 30'800,3856163,310542.94210000004,811403,320532.2433,10980481.904,4.385196248434681
 SP/PF    2018,17'800 / 30'800,3919522,317896.8253,824062,327570.8462,11263767.367,2.5799000943374466
,,,,,,,
1) Nur Normal und Sonderfälle / Seulement les cas normaux et des cas spéciaux,,,,,,,
2) Die Ermässigungen für Kinder wurden noch nicht ausgezählt  / Les réductions pour les enfants n'étaient pas encore été décomptées,,,,,,,
"3) Der Kanton Zürich lieferte uns den Steuerbetrag vor dem Abzug der Ermässigungen für Kinder, sodass diese nicht ausgezählt werden konnten",,,,,,,
"    Le canton de Zurich a fourni le montant de l'impôt avant déduction des réductions pour les enfants, ce qui empêche le décompte de ces dernières",,,,,,,
4) Übergang von der zweijährigen Veranlagung mit Vergangenheitsbemessung zur jährlichen Veranlagung mit Gegenwartsbemessung /,,,,,,,
    Passage de la méthode de taxation bisannuelle praenumerando à la taxation annuelle postnumerando.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Direkte Bundessteuer / Steuerperiode 2018 / Natürliche Personen,,,,,,,
Impôt fédéral direct / Période fiscale 2018 / Personnes physiques,,,,,,,
KANTON ZÜRICH,,,,,,,
Gesamtergebnisse,,,,,,,
Résultats d'ensemble,,,,,,,
,,,,,,,
,,,Steuerbares,Ermässigungen,Steuerertrag,,
,,Pflichtige,Einkommen,für Kinder,pro Jahr,,
,Arten,Contribuables,Revenu,Réductions,Rendement de,Genres,
,,,imposable,pour des enfants,l'impôt par année,,
,,,1'000 Fr.,Anzahl / Nombre,Fr.,,
"Steuerpflichtige mit einer Belastung durch die direkte Bundessteuer
Contribuables acquittant un impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,624297,52831992.4,155260,1883522526,Cas normaux,
Sonderfälle,,73768,9039743.399999999,0,600284720,Cas spéciaux,
   Pauschalierte (Art. 14 DBG),,1,660,0,72362,   Impôt à forfait (art. 14 LIFD),
   Übrige Sonderfälle (Art. 4 bis 7 und 37 DBG),,73767,9039083.399999999,.   ,600212358,   Autres cas spéciaux (art. 4 à 7 et 37 LIFD),
Quellensteuer,,-   ,-     ,-   ,95422165,Imposition à la source,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,21322,3296773.8,-   ,43356728,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,,,,,,,
,Total,719387,65168509.599999994,155260,2622586139,Total,
"Steuerpflichtige ohne Belastung durch die direkte Bundessteuer
Contribuables n'acquittant pas d'impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,195023,2961388.7,50004,0,Cas normaux,
Sonderfälle,,15537,190456.40000000002,.   ,0,Cas spéciaux,
,,,,,,,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,8293,165467.4,-   ,0,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,Total,218853,3317312.5,50004,0,Total,
,,,,,,,
Entwicklung der direkten Bundessteuer der natürlichen Personen,,,,,,,
Evolution de l'impôt fédéral direct payé par les personnes physiques,,,,,,,
,,,,,,,
Nur steuerpflichtige Personen mit einer Belastung durch die direkte Bundessteuer,,,,,,,
Seulement les contribuables acquittant un impôt fédéral direct,,,,,,,
,Beginn der,,,,,Steuerertrag pro Jahr,
Perioden,Steuerpflicht,Anzahl,Steuerbares,Ermässigungen,Reines,Rendement de l'impôt par année,
Steuerjahre,(steuerbares Einkommen),Pflichtige,Einkommen,für Kinder,Einkommen,,
,Début de l'assu-,Nombre de,Revenu,Réductions,Revenu,,Veränderung in %
Périodes,jettissement,contribuables,imposable,pour des enfants,net,,Variation en %
Années fiscales,(revenu imposable),,,,1),,
,Fr.,,Mio. Fr.,Anzahl / Nombre,Mio. Fr.,1'000 Fr.,
 SP/PF    2005,16'100 / 27'400,649006,49365.4134,.        ,50726.4264,1851221.339,8.639848380238192
 SP/PF    2006,16'900 / 29'200,649017,50638.2849,.        ,52045.6256,1847739.337,-0.188092149039349
 SP/PF    2007,16'900 / 29'200,669777,54468.50919999999,.        ,55791.018299999996,2102684.345,13.797671722134254
 SP/PF    2008,16'900 / 29'200,679924,55812.341100000005,.        ,58158.982299999996,2189455.024,4.126662150043273
 SP/PF    2009,16'900 / 29'200,686684,55844.70159999999,.        ,58392.734,2117397.626,-3.291111130858283
 SP/PF    2010,16'900 / 29'200,695628,57210.857,.        ,59842.272,2204147.195,4.0969900001200585
 SP/PF    2011,17'700 / 30'600,652694,57304.387200000005,2)        ,59214.9682,2327523.33,5.597454438608864
 SP/PF    2012,17'800 / 30'800,667056,58065.14169999999,2)        ,58129.4982,2155868.78,-7.374987300342127
 SP/PF    2013,17'800 / 30'800,672463,57330.425800000005,3)        ,59266.3381,2198249.749,1.96584177075934
 SP/PF    2014,17'800 / 30'800,675955,58768.367,144735,60814.6402,2225873.301,1.2566157240580367
 SP/PF    2015,17'800 / 30'800,696569,60658.1799,146146,62711.4751,2344040.047,5.308781319534759
 SP/PF    2016,17'800 / 30'800,696141,61773.3156,151082,63864.1907,2429148.763,3.6308558852877013
 SP/PF    2017,17'800 / 30'800,706784,63689.903399999996,151939,65712.9242,2582345.715,6.306610543308253
 SP/PF    2018,17'800 / 30'800,719387,65168.5096,155260,67276.6808,2622586.139,1.55828957239369
,,,,,,,
1) Nur Normal und Sonderfälle / Seulement les cas normaux et des cas spéciaux,,,,,,,
2) Die Ermässigungen für Kinder wurden noch nicht ausgezählt  / Les réductions pour les enfants n'étaient pas encore été décomptées,,,,,,,
"3) Der Kanton Zürich lieferte uns den Steuerbetrag vor dem Abzug der Ermässigungen für Kinder, sodass diese nicht ausgezählt werden konnten",,,,,,,
"    Le canton de Zurich a fourni le montant de l'impôt avant déduction des réductions pour les enfants, ce qui empêche le décompte de ces dernières",,,,,,,
4) Übergang von der zweijährigen Veranlagung mit Vergangenheitsbemessung zur jährlichen Veranlagung mit Gegenwartsbemessung /,,,,,,,
    Passage de la méthode de taxation bisannuelle praenumerando à la taxation annuelle postnumerando.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Direkte Bundessteuer / Steuerperiode 2018 / Natürliche Personen,,,,,,,
Impôt fédéral direct / Période fiscale 2018 / Personnes physiques,,,,,,,
KANTON BERN,,,,,,,
Gesamtergebnisse,,,,,,,
Résultats d'ensemble,,,,,,,
,,,,,,,
,,,Steuerbares,Ermässigungen,Steuerertrag,,
,,Pflichtige,Einkommen,für Kinder,pro Jahr,,
,Arten,Contribuables,Revenu,Réductions,Rendement de,Genres,
,,,imposable,pour des enfants,l'impôt par année,,
,,,1'000 Fr.,Anzahl / Nombre,Fr.,,
"Steuerpflichtige mit einer Belastung durch die direkte Bundessteuer
Contribuables acquittant un impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,438565,29879107.3,86923,702604430,Cas normaux,
Sonderfälle,,24755,2091200.2000000002,0,97368513,Cas spéciaux,
   Pauschalierte (Art. 14 DBG),,196,119778,0,12616884,   Impôt à forfait (art. 14 LIFD),
   Übrige Sonderfälle (Art. 4 bis 7 und 37 DBG),,24559,1971422.2000000002,.   ,84751629,   Autres cas spéciaux (art. 4 à 7 et 37 LIFD),
Quellensteuer,,-   ,-     ,-   ,17366959,Imposition à la source,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,18746,2487234.8,-   ,30392615,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,,,,,,,
,Total,482066,34457542.3,86923,847732517,Total,
"Steuerpflichtige ohne Belastung durch die direkte Bundessteuer
Contribuables n'acquittant pas d'impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,175904,2552582.9,43596,0,Cas normaux,
Sonderfälle,,17695,138882.3,.   ,0,Cas spéciaux,
,,,,,,,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,10832,226301.9,-   ,0,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,Total,204431,2917767.0999999996,43596,0,Total,
,,,,,,,
Entwicklung der direkten Bundessteuer der natürlichen Personen,,,,,,,
Evolution de l'impôt fédéral direct payé par les personnes physiques,,,,,,,
,,,,,,,
Nur steuerpflichtige Personen mit einer Belastung durch die direkte Bundessteuer,,,,,,,
Seulement les contribuables acquittant un impôt fédéral direct,,,,,,,
,Beginn der,,,,,Steuerertrag pro Jahr,
Perioden,Steuerpflicht,Anzahl,Steuerbares,Ermässigungen,Reines,Rendement de l'impôt par année,
Steuerjahre,(steuerbares Einkommen),Pflichtige,Einkommen,für Kinder,Einkommen,,
,Début de l'assu-,Nombre de,Revenu,Réductions,Revenu,,Veränderung in %
Périodes,jettissement,contribuables,imposable,pour des enfants,net,,Variation en %
Années fiscales,(revenu imposable),,,,1),,
,Fr.,,Mio. Fr.,Anzahl / Nombre,Mio. Fr.,1'000 Fr.,
 SP/PF    2005,16'100 / 27'400,452975,27866.5955,.        ,29373.982600000003,678575.41,5.220283894396189
 SP/PF    2006,16'900 / 29'200,452192,28191.980700000004,.        ,29638.8782,638552.966,-5.898009773151074
 SP/PF    2007,16'900 / 29'200,460372,29374.527200000004,.        ,30726.5304,688886.498,7.882436490006057
 SP/PF    2008,16'900 / 29'200,464612,29562.188899999997,.        ,31513.2875,691086.016,0.3192859790960654
 SP/PF    2009,16'900 / 29'200,469228,30193.3094,.        ,32170.469200000003,714756.279,3.4250820378342155
 SP/PF    2010,16'900 / 29'200,473757,30732.898400000002,.        ,32671.258,737749.493,3.2169306763096017
 SP/PF    2011,17'700 / 30'600,433966,29233.5174,2)        ,30326.4553,680193.107,-7.801616476339618
 SP/PF    2012,17'800 / 30'800,442029,29837.2981,2)        ,30964.8504,685547.659,0.7872105648962417
 SP/PF    2013,17'800 / 30'800,448621,30441.616599999998,77571,31544.3082,703604.299,2.6339000305739404
 SP/PF    2014,17'800 / 30'800,453978,31081.187599999997,78792,32120.725,729035.159,3.614369616010549
 SP/PF    2015,17'800 / 30'800,461196,31909.507100000003,80753,32894.8396,761846.444,4.500645077941982
 SP/PF    2016,17'800 / 30'800,469977,33099.2084,84420,34109.1509,810693.212,6.411629060514471
 SP/PF    2017,17'800 / 30'800,475273,33632.9671,84846,34369.9326,813789.978,0.38198987658478245
 SP/PF    2018,17'800 / 30'800,482066,34457.542299999994,86923,35075.9219,847732.517,4.170921234913521
,,,,,,,
1) Nur Normal und Sonderfälle / Seulement les cas normaux et des cas spéciaux,,,,,,,
2) Die Ermässigungen für Kinder wurden noch nicht ausgezählt  / Les réductions pour les enfants n'étaient pas encore été décomptées,,,,,,,
"3) Der Kanton Zürich lieferte uns den Steuerbetrag vor dem Abzug der Ermässigungen für Kinder, sodass diese nicht ausgezählt werden konnten",,,,,,,
"    Le canton de Zurich a fourni le montant de l'impôt avant déduction des réductions pour les enfants, ce qui empêche le décompte de ces dernières",,,,,,,
4) Übergang von der zweijährigen Veranlagung mit Vergangenheitsbemessung zur jährlichen Veranlagung mit Gegenwartsbemessung /,,,,,,,
    Passage de la méthode de taxation bisannuelle praenumerando à la taxation annuelle postnumerando.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Direkte Bundessteuer / Steuerperiode 2018 / Natürliche Personen,,,,,,,
Impôt fédéral direct / Période fiscale 2018 / Personnes physiques,,,,,,,
KANTON LUZERN,,,,,,,
Gesamtergebnisse,,,,,,,
Résultats d'ensemble,,,,,,,
,,,,,,,
,,,Steuerbares,Ermässigungen,Steuerertrag,,
,,Pflichtige,Einkommen,für Kinder,pro Jahr,,
,Arten,Contribuables,Revenu,Réductions,Rendement de,Genres,
,,,imposable,pour des enfants,l'impôt par année,,
,,,1'000 Fr.,Anzahl / Nombre,Fr.,,
"Steuerpflichtige mit einer Belastung durch die direkte Bundessteuer
Contribuables acquittant un impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,170789,12218132,41407,331408644,Cas normaux,
Sonderfälle,,10999,1167311.7,0,72686064,Cas spéciaux,
   Pauschalierte (Art. 14 DBG),,87,66157.3,0,7366984,   Impôt à forfait (art. 14 LIFD),
   Übrige Sonderfälle (Art. 4 bis 7 und 37 DBG),,10912,1101154.4,.   ,65319080,   Autres cas spéciaux (art. 4 à 7 et 37 LIFD),
Quellensteuer,,-   ,-     ,-   ,10722617,Imposition à la source,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,7150,963231.6000000001,-   ,11943705,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,,,,,,,
,Total,188938,14348675.299999999,41407,426761030,Total,
"Steuerpflichtige ohne Belastung durch die direkte Bundessteuer
Contribuables n'acquittant pas d'impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,55454,1020935.8999999999,18780,0,Cas normaux,
Sonderfälle,,4628,50595.399999999994,.   ,0,Cas spéciaux,
,,,,,,,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,5249,121183.6,-   ,0,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,Total,65331,1192714.9,18780,0,Total,
,,,,,,,
Entwicklung der direkten Bundessteuer der natürlichen Personen,,,,,,,
Evolution de l'impôt fédéral direct payé par les personnes physiques,,,,,,,
,,,,,,,
Nur steuerpflichtige Personen mit einer Belastung durch die direkte Bundessteuer,,,,,,,
Seulement les contribuables acquittant un impôt fédéral direct,,,,,,,
,Beginn der,,,,,Steuerertrag pro Jahr,
Perioden,Steuerpflicht,Anzahl,Steuerbares,Ermässigungen,Reines,Rendement de l'impôt par année,
Steuerjahre,(steuerbares Einkommen),Pflichtige,Einkommen,für Kinder,Einkommen,,
,Début de l'assu-,Nombre de,Revenu,Réductions,Revenu,,Veränderung in %
Périodes,jettissement,contribuables,imposable,pour des enfants,net,,Variation en %
Années fiscales,(revenu imposable),,,,1),,
,Fr.,,Mio. Fr.,Anzahl / Nombre,Mio. Fr.,1'000 Fr.,
 SP/PF    2005,16'100 / 27'400,168382,10451.4184,.        ,11085.5855,275212.596,10.154479343160006
 SP/PF    2006,16'900 / 29'200,168621,10790.639,.        ,11400.447699999999,278695.009,1.2653537848972576
 SP/PF    2007,16'900 / 29'200,173371,11246.345600000002,.        ,11871.9561,292072.968,4.800214775285042
 SP/PF    2008,16'900 / 29'200,176418,11516.394,.        ,12383.6747,301569.683,3.251487142076101
 SP/PF    2009,16'900 / 29'200,180555,11891.498200000002,.        ,12803.971399999999,317133.853,5.161052611512005
 SP/PF    2010,16'900 / 29'200,182673,12136.6309,.        ,13045.1106,325791.682,2.7300235903859686
 SP/PF    2011,17'700 / 30'600,166063,11606.555699999999,2)        ,12161.678199999998,309279.459,-5.068337809803268
 SP/PF    2012,17'800 / 30'800,168625,11895.291399999998,2)        ,12412.955100000001,317856.499,2.77323299378898
 SP/PF    2013,17'800 / 30'800,173077,12436.547099999998,37393,12951.8293,345513.069,8.70096099560952
 SP/PF    2014,17'800 / 30'800,176954,12581.135199999999,38408,13132.0875,336102.315,-2.7237042081322755
 SP/PF    2015,17'800 / 30'800,179653,12982.6498,38559,13461.9894,355868.081,5.880877672621807
 SP/PF    2016,17'800 / 30'800,183147,13464.6798,40058,13930.9925,373337.082,4.908841768250639
 SP/PF    2017,17'800 / 30'800,185854,14004.347200000002,40634,14446.716499999999,411615.692,10.253096155071987
 SP/PF    2018,17'800 / 30'800,188938,14348.675299999999,41407,14782.382800000003,426761.03,3.6794850862974613
,,,,,,,
1) Nur Normal und Sonderfälle / Seulement les cas normaux et des cas spéciaux,,,,,,,
2) Die Ermässigungen für Kinder wurden noch nicht ausgezählt  / Les réductions pour les enfants n'étaient pas encore été décomptées,,,,,,,
"3) Der Kanton Zürich lieferte uns den Steuerbetrag vor dem Abzug der Ermässigungen für Kinder, sodass diese nicht ausgezählt werden konnten",,,,,,,
"    Le canton de Zurich a fourni le montant de l'impôt avant déduction des réductions pour les enfants, ce qui empêche le décompte de ces dernières",,,,,,,
4) Übergang von der zweijährigen Veranlagung mit Vergangenheitsbemessung zur jährlichen Veranlagung mit Gegenwartsbemessung /,,,,,,,
    Passage de la méthode de taxation bisannuelle praenumerando à la taxation annuelle postnumerando.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Direkte Bundessteuer / Steuerperiode 2018 / Natürliche Personen,,,,,,,
Impôt fédéral direct / Période fiscale 2018 / Personnes physiques,,,,,,,
KANTON URI,,,,,,,
Gesamtergebnisse,,,,,,,
Résultats d'ensemble,,,,,,,
,,,,,,,
,,,Steuerbares,Ermässigungen,Steuerertrag,,
,,Pflichtige,Einkommen,für Kinder,pro Jahr,,
,Arten,Contribuables,Revenu,Réductions,Rendement de,Genres,
,,,imposable,pour des enfants,l'impôt par année,,
,,,1'000 Fr.,Anzahl / Nombre,Fr.,,
"Steuerpflichtige mit einer Belastung durch die direkte Bundessteuer
Contribuables acquittant un impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,14904,967143.1000000001,3070,19759260,Cas normaux,
Sonderfälle,,1107,78811,0,4090426,Cas spéciaux,
   Pauschalierte (Art. 14 DBG),,24,9073.7,0,932632,   Impôt à forfait (art. 14 LIFD),
   Übrige Sonderfälle (Art. 4 bis 7 und 37 DBG),,1083,69737.3,.   ,3157794,   Autres cas spéciaux (art. 4 à 7 et 37 LIFD),
Quellensteuer,,-   ,-     ,-   ,497052,Imposition à la source,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,626,76303.3,-   ,810331,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,,,,,,,
,Total,16637,1122257.4000000001,3070,25157069,Total,
"Steuerpflichtige ohne Belastung durch die direkte Bundessteuer
Contribuables n'acquittant pas d'impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,4693,99025.7,1857,0,Cas normaux,
Sonderfälle,,392,3992.1,.   ,0,Cas spéciaux,
,,,,,,,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,345,6986.7,-   ,0,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,Total,5430,110004.5,1857,0,Total,
,,,,,,,
Entwicklung der direkten Bundessteuer der natürlichen Personen,,,,,,,
Evolution de l'impôt fédéral direct payé par les personnes physiques,,,,,,,
,,,,,,,
Nur steuerpflichtige Personen mit einer Belastung durch die direkte Bundessteuer,,,,,,,
Seulement les contribuables acquittant un impôt fédéral direct,,,,,,,
,Beginn der,,,,,Steuerertrag pro Jahr,
Perioden,Steuerpflicht,Anzahl,Steuerbares,Ermässigungen,Reines,Rendement de l'impôt par année,
Steuerjahre,(steuerbares Einkommen),Pflichtige,Einkommen,für Kinder,Einkommen,,
,Début de l'assu-,Nombre de,Revenu,Réductions,Revenu,,Veränderung in %
Périodes,jettissement,contribuables,imposable,pour des enfants,net,,Variation en %
Années fiscales,(revenu imposable),,,,1),,
,Fr.,,Mio. Fr.,Anzahl / Nombre,Mio. Fr.,1'000 Fr.,
 SP/PF    2005,16'100 / 27'400,16115,873.3932,.        ,952.8055,15880.575,2.3779050693343464
 SP/PF    2006,16'900 / 29'200,15835,871.1409,.        ,953.9055999999999,14749.113,-7.124817583746193
 SP/PF    2007,16'900 / 29'200,16284,932.218,.        ,991.7806999999999,16695.65,13.19765466574161
 SP/PF    2008,16'900 / 29'200,16385,932.3916,.        ,1010.3746,15920.335,-4.643814406746671
 SP/PF    2009,16'900 / 29'200,16415,943.7937999999999,.        ,1039.4623000000001,17110.626,7.476544934513001
 SP/PF    2010,16'900 / 29'200,16456,958.9394,.        ,1057.3155,18616.793,8.802524232602607
 SP/PF    2011,17'700 / 30'600,14718,898.3964,2)        ,940.5822000000001,16238.543,-12.774756640416001
 SP/PF    2012,17'800 / 30'800,15015,931.5161,2)        ,970.7263999999999,17184.176,5.823385755729447
 SP/PF    2013,17'800 / 30'800,15296,959.8846000000001,2576,996.0311,18207.571,5.955449944181211
 SP/PF    2014,17'800 / 30'800,15540,992.5514000000001,2797,1040.0473000000002,19933.883,9.481286658170944
 SP/PF    2015,17'800 / 30'800,15799,1024.8626000000002,2808,1054.4626,20816.609,4.42826919371403
 SP/PF    2016,17'800 / 30'800,16153,1065.7211000000002,2894,1098.8056,22623.286,8.679016836988197
 SP/PF    2017,17'800 / 30'800,16369,1127.8828999999998,3034,1139.4785,25496.489,12.700201907008577
 SP/PF    2018,17'800 / 30'800,16637,1122.2574000000002,3070,1160.1357,25157.069,-1.3312421172970232
,,,,,,,
1) Nur Normal und Sonderfälle / Seulement les cas normaux et des cas spéciaux,,,,,,,
2) Die Ermässigungen für Kinder wurden noch nicht ausgezählt  / Les réductions pour les enfants n'étaient pas encore été décomptées,,,,,,,
"3) Der Kanton Zürich lieferte uns den Steuerbetrag vor dem Abzug der Ermässigungen für Kinder, sodass diese nicht ausgezählt werden konnten",,,,,,,
"    Le canton de Zurich a fourni le montant de l'impôt avant déduction des réductions pour les enfants, ce qui empêche le décompte de ces dernières",,,,,,,
4) Übergang von der zweijährigen Veranlagung mit Vergangenheitsbemessung zur jährlichen Veranlagung mit Gegenwartsbemessung /,,,,,,,
    Passage de la méthode de taxation bisannuelle praenumerando à la taxation annuelle postnumerando.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Direkte Bundessteuer / Steuerperiode 2018 / Natürliche Personen,,,,,,,
Impôt fédéral direct / Période fiscale 2018 / Personnes physiques,,,,,,,
KANTON SCHWYZ,,,,,,,
Gesamtergebnisse,,,,,,,
Résultats d'ensemble,,,,,,,
,,,,,,,
,,,Steuerbares,Ermässigungen,Steuerertrag,,
,,Pflichtige,Einkommen,für Kinder,pro Jahr,,
,Arten,Contribuables,Revenu,Réductions,Rendement de,Genres,
,,,imposable,pour des enfants,l'impôt par année,,
,,,1'000 Fr.,Anzahl / Nombre,Fr.,,
"Steuerpflichtige mit einer Belastung durch die direkte Bundessteuer
Contribuables acquittant un impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,67354,6442336.1,16474,302038904,Cas normaux,
Sonderfälle,,7231,1938165.2,0,182178726,Cas spéciaux,
   Pauschalierte (Art. 14 DBG),,68,70943.4,0,8117333,   Impôt à forfait (art. 14 LIFD),
   Übrige Sonderfälle (Art. 4 bis 7 und 37 DBG),,7163,1867221.8,.   ,174061393,   Autres cas spéciaux (art. 4 à 7 et 37 LIFD),
Quellensteuer,,-   ,-     ,-   ,19246125,Imposition à la source,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,3092,553558.1,-   ,8112309,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,,,,,,,
,Total,77677,8934059.4,16474,511576064,Total,
"Steuerpflichtige ohne Belastung durch die direkte Bundessteuer
Contribuables n'acquittant pas d'impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,19176,325838.6,5876,0,Cas normaux,
Sonderfälle,,2278,18408.8,.   ,0,Cas spéciaux,
,,,,,,,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,1199,24984.300000000003,-   ,0,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,Total,22653,369231.69999999995,5876,0,Total,
,,,,,,,
Entwicklung der direkten Bundessteuer der natürlichen Personen,,,,,,,
Evolution de l'impôt fédéral direct payé par les personnes physiques,,,,,,,
,,,,,,,
Nur steuerpflichtige Personen mit einer Belastung durch die direkte Bundessteuer,,,,,,,
Seulement les contribuables acquittant un impôt fédéral direct,,,,,,,
,Beginn der,,,,,Steuerertrag pro Jahr,
